Fecha,Inflacion,Año
2010-01-01,2.1,2010
2010-02-01,2.09,2010
2010-03-01,1.84,2010
2010-04-01,1.98,2010
2010-05-01,2.07,2010
2010-06-01,2.25,2010
2010-07-01,2.24,2010
2010-08-01,2.31,2010
2010-09-01,2.28,2010
2010-10-01,2.33,2010
2010-11-01,2.59,2010
2010-12-01,3.17,2010
2011-01-01,3.4,2011
2011-02-01,3.17,2011
2011-03-01,3.19,2011
2011-04-01,2.84,2011
2011-05-01,3.02,2011
2011-06-01,3.23,2011
2011-07-01,3.42,2011
2011-08-01,3.27,2011
2011-09-01,3.73,2011
2011-10-01,4.02,2011
2011-11-01,3.96,2011
2011-12-01,3.73,2011
2012-01-01,3.54,2012
2012-02-01,3.55,2012
2012-03-01,3.4,2012
2012-04-01,3.43,2012
2012-05-01,3.44,2012
2012-06-01,3.2,2012
2012-07-01,3.03,2012
2012-08-01,3.11,2012
2012-09-01,3.08,2012
2012-10-01,3.06,2012
2012-11-01,2.77,2012
2012-12-01,2.44,2012
2013-01-01,2.0,2013
2013-02-01,1.83,2013
2013-03-01,1.91,2013
2013-04-01,2.02,2013
2013-05-01,2.0,2013
2013-06-01,2.16,2013
2013-07-01,2.22,2013
2013-08-01,2.27,2013
2013-09-01,2.27,2013
2013-10-01,1.84,2013
2013-11-01,1.76,2013
2013-12-01,1.94,2013
2014-01-01,2.13,2014
2014-02-01,2.32,2014
2014-03-01,2.51,2014
2014-04-01,2.72,2014
2014-05-01,2.93,2014
2014-06-01,2.79,2014
2014-07-01,2.89,2014
2014-08-01,3.02,2014
2014-09-01,2.86,2014
2014-10-01,3.29,2014
2014-11-01,3.65,2014
2014-12-01,3.66,2014
2015-01-01,3.82,2015
2015-02-01,4.36,2015
2015-03-01,4.56,2015
2015-04-01,4.64,2015
2015-05-01,4.41,2015
2015-06-01,4.42,2015
2015-07-01,4.46,2015
2015-08-01,4.74,2015
2015-09-01,5.35,2015
2015-10-01,5.89,2015
2015-11-01,6.39,2015
2015-12-01,6.77,2015
2016-01-01,7.45,2016
2016-02-01,7.59,2016
2016-03-01,7.98,2016
2016-04-01,7.93,2016
2016-05-01,8.2,2016
2016-06-01,8.6,2016
2016-07-01,8.97,2016
2016-08-01,8.1,2016
2016-09-01,7.27,2016
2016-10-01,6.48,2016
2016-11-01,5.96,2016
2016-12-01,5.75,2016
2017-01-01,5.47,2017
2017-02-01,5.18,2017
2017-03-01,4.69,2017
2017-04-01,4.66,2017
2017-05-01,4.37,2017
2017-06-01,3.99,2017
2017-07-01,3.4,2017
2017-08-01,3.87,2017
2017-09-01,3.97,2017
2017-10-01,4.05,2017
2017-11-01,4.12,2017
2017-12-01,4.09,2017
2018-01-01,3.68,2018
2018-02-01,3.37,2018
2018-03-01,3.14,2018
2018-04-01,3.13,2018
2018-05-01,3.16,2018
2018-06-01,3.2,2018
2018-07-01,3.12,2018
2018-08-01,3.1,2018
2018-09-01,3.23,2018
2018-10-01,3.33,2018
2018-11-01,3.27,2018
2018-12-01,3.18,2018
2019-01-01,3.15,2019
2019-02-01,3.01,2019
2019-03-01,3.21,2019
2019-04-01,3.25,2019
2019-05-01,3.31,2019
2019-06-01,3.43,2019
2019-07-01,3.79,2019
2019-08-01,3.75,2019
2019-09-01,3.82,2019
2019-10-01,3.86,2019
2019-11-01,3.84,2019
2019-12-01,3.8,2019
2020-01-01,3.62,2020
2020-02-01,3.72,2020
2020-03-01,3.86,2020
2020-04-01,3.51,2020
2020-05-01,2.85,2020
2020-06-01,2.19,2020
2020-07-01,1.97,2020
2020-08-01,1.88,2020
2020-09-01,1.97,2020
2020-10-01,1.75,2020
2020-11-01,1.49,2020
2020-12-01,1.61,2020
2021-01-01,1.6,2021
2021-02-01,1.56,2021
2021-03-01,1.51,2021
2021-04-01,1.95,2021
2021-05-01,3.3,2021
2021-06-01,3.63,2021
2021-07-01,3.97,2021
2021-08-01,4.44,2021
2021-09-01,4.51,2021
2021-10-01,4.58,2021
2021-11-01,5.26,2021
2021-12-01,5.62,2021
2022-01-01,6.94,2022
2022-02-01,8.01,2022
2022-03-01,8.53,2022
2022-04-01,9.23,2022
2022-05-01,9.07,2022
2022-06-01,9.67,2022
2022-07-01,10.21,2022
2022-08-01,10.84,2022
2022-09-01,11.44,2022
2022-10-01,12.22,2022
2022-11-01,12.53,2022
2022-12-01,13.12,2022
2023-01-01,13.25,2023
2023-02-01,13.28,2023
2023-03-01,13.34,2023
2023-04-01,12.82,2023
2023-05-01,12.36,2023
2023-06-01,12.13,2023
2023-07-01,11.78,2023
2023-08-01,11.43,2023
2023-09-01,10.99,2023
2023-10-01,10.48,2023
2023-11-01,10.15,2023
2023-12-01,9.28,2023
2024-01-01,8.35,2024
2024-02-01,7.74,2024
2024-03-01,7.36,2024
2024-04-01,7.16,2024
2024-05-01,7.16,2024
2024-06-01,7.18,2024
2024-07-01,6.86,2024
2024-08-01,6.12,2024
2024-09-01,5.81,2024
